"Hotels","Hotel ID","City","URL"
"Alto 21 Suite","10721942","Montevideo","https://www.booking.com/hotel/uy/alto-21-suite.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos de Kiyu","9417593","Ordeig","https://www.booking.com/hotel/uy/altos-de-kiyu.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos de La Balconada","1450565","La Paloma","https://www.booking.com/hotel/uy/altos-de-la-balconada.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos de la Serena Apart Hotel","576717","La Paloma","https://www.booking.com/hotel/uy/altos-de-la-serena-apart.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos de San Benito","11069100","Colonia del Sacramento","https://www.booking.com/hotel/uy/altos-de-san-benito.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del Arapey All Inclusive, Golf & Spa","861618","Termas del Arapey","https://www.booking.com/hotel/uy/altos-del-arapey-all-inclusive-golf-amp-spa.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del Golf - Fito","11301521","Punta del Este","https://www.booking.com/hotel/uy/altos-del-golf-fito.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del golf 1","7691028","Punta del este","https://www.booking.com/hotel/uy/altos-del-golf-punta-del-este12.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del Plata","9258870","Colonia Del Sacramento","https://www.booking.com/hotel/uy/la-casa-del-tio-colonia-del-sacramento1.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del Virrey","6717138","Colonia Del Sacramento","https://www.booking.com/hotel/uy/altos-del-virrey-colonia-del-sacramento1.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Altos del Virrey 204 apartamento frente al río","9361800","Colonia Del Sacramento","https://www.booking.com/hotel/uy/altos-del-virrey-204.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Alvaro","11204660","Aguas Dulces","https://www.booking.com/hotel/uy/alvaro.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amaaral","11314875","Rocha","https://www.booking.com/hotel/uy/amaaral.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amarras Reales","1519000","Piriapolis","https://www.booking.com/hotel/uy/amarras-reales.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amatista","1057583","Punta del Diablo","https://www.booking.com/hotel/uy/amatista-punta-del-diablo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amazing lake house on the beach.","11207913","Laguna Garzón","https://www.booking.com/hotel/uy/amazing-lake-house-on-the-beach-laguna-garzon.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amazing Oceanfront unit on Mansa Beach","5991473","Punta del Este","https://www.booking.com/hotel/uy/tunquelen10.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ambar Hotel","9104697","Punta del Este","https://www.booking.com/hotel/uy/ambar-punta-del-este1.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ambar Posada Boutique","8200157","Aiguá","https://www.booking.com/hotel/uy/ambar-posada-boutique.en.html?aid=2410095&no_rooms=1&group_adults=2"
"AMBRA","4406653","Punta del diablo","https://www.booking.com/hotel/uy/ambra.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amdusias I y II","11094175","La Pedrera","https://www.booking.com/hotel/uy/amdusias-i-y-ii.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amdusias II","11101589","La Pedrera","https://www.booking.com/hotel/uy/amdusias-ii.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amdusias III","11153419","La Pedrera","https://www.booking.com/hotel/uy/amdusias-iii.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ameno apartamento en 7º piso","9807172","Colonia del Sacramento","https://www.booking.com/hotel/uy/ameno-apartamento-en-7o-piso.en.html?aid=2410095&no_rooms=1&group_adults=2"
"amigos del diablo","4645759","Punta del Diablo","https://www.booking.com/hotel/uy/amigos-del-diablo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amigos imaginarios","11209960","Parque del Plata","https://www.booking.com/hotel/uy/amigos-imaginarios.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ammalur","8767978","Minas","https://www.booking.com/hotel/uy/ammalur.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Ammunaini","1502787","Punta Del Diablo","https://www.booking.com/hotel/uy/ammunaini.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amor amor","10749951","San Luis","https://www.booking.com/hotel/uy/amor-amor.en.html?aid=2410095&no_rooms=1&group_adults=2"
"AMORES DEL DIABLO","8088003","Punta del Diablo","https://www.booking.com/hotel/uy/amores-del-diablo.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amphibias","10394813","Punta del Diablo","https://www.booking.com/hotel/uy/amphibias.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amplia casa a cuadras del mar","9410796","El Tesoro","https://www.booking.com/hotel/uy/amplia-casa-a-cuadras-del-mar-el-tesoro1.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amplia casa con piscina en Pinares","9467820","Maldonado","https://www.booking.com/hotel/uy/amplia-casa-con-piscina-en-pinares.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amplia Casa de 2 dormitorios en Piriapolis, a 4 cuadras de Playa San Francisco","7026400","Piriápolis","https://www.booking.com/hotel/uy/casa-en-piriapolis-a-4-cuadras-de-playa-san-francisco.en.html?aid=2410095&no_rooms=1&group_adults=2"
"Amplia casa en Centro de la Ciudad","10825973","Montevideo","https://www.booking.com/hotel/uy/amplia-casa-en-centro-de-la-ciudad.en.html?aid=2410095&no_rooms=1&group_adults=2"
